ID,Título,Autor,Género,Año de publicación,Número de páginas
1,Cien años de soledad,Gabriel García Márquez,Realismo mágico,1967,417
2,1984,George Orwell,Ciencia ficción,1949,328
3,Matar a un ruiseñor,Harper Lee,Ficción,1960,281
4,El gran Gatsby,F. Scott Fitzgerald,Ficción,1925,180
5,Orgullo y prejuicio,Jane Austen,Romance,1813,279
6,Ulises,James Joyce,Modernismo,1922,False
7,La metamorfosis,Franz Kafka,Ficción absurda,1915,201
8,En busca del tiempo perdido,Marcel Proust,Ficción autobiográfica,1913,4215
9,Don Quijote de la Mancha,Miguel de Cervantes,Novela,1605,1023
10,Moby-Dick,Herman Melville,Ficción de aventura,1851,635
11,Guerra y paz,Leo Tolstoy,Ficción histórica,1869,1225
12,Hamlet,William Shakespeare,Tragedia,1603,432
13,El proceso,Franz Kafka,Ficción distópica,1925,160
14,Las aventuras de Huckleberry Finn,Mark Twain,Ficción de aventura,1884,366
15,Madame Bovary,Gustave Flaubert,Realismo,1856,528
16,El ruido y la furia,William Faulkner,Modernismo,False,326
17,El retrato de Dorian Gray,Oscar Wilde,Ficción gótica,1890,254
18,Ana Karenina,Leo Tolstoy,Realismo,1877,864
19,Crimen y castigo,Fyodor Dostoevsky,Ficción psicológica,1866,545
20,El extranjero,Albert Camus,Ficción filosófica,1942,159